id,ra,dec,xpix,ypix,HAWKIKs_tot,K_flag,K_star,K_fluxrad,totmask,HAWKIKs,eHAWKIKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,HAWKIY,eHAWKIY,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2,IRAC3,eIRAC3,IRAC4,eIRAC4
783,53.735832,-29.45899,1956.06,1918.23,83.563,0,0.11,2.74,0,45.483,1.376,0.242,0.075,0.313,0.058,0.741,0.104,1.837,0.061,6.056,0.145,7.744,0.309,10.31,0.278,17.569,0.435,43.519,3.099,27.971,3.19,29.934,4.116,25.037,4.632
784,53.793583,-29.458927,1050.99,1919.36,19.446,0,0.74,1.923,0,13.335,1.003,1.204,0.061,1.418,0.052,1.878,0.086,2.975,0.058,5.757,0.132,5.613,0.282,6.827,0.214,8.549,0.426,11.477,1.588,8.964,1.892,18.283,4.989,3.465,4.223
785,53.688496,-29.459246,2697.98,1913.3,351.629,0,0.99,1.783,1,228.775,0.992,0.389,0.105,2.528,0.116,9.624,0.148,19.064,0.114,99.666,0.32,132.765,0.681,178.921,0.207,-999.0,9999.0,96.814,5.542,68.643,5.415,38.219,4.086,13.253,4.456
786,53.803822,-29.458979,890.49,1918.4,37.684,1,0.19,5.751,0,17.111,0.994,0.379,0.061,0.888,0.052,2.463,0.085,3.527,0.058,5.243,0.132,7.24,0.282,7.979,0.212,11.743,0.425,5.594,0.611,5.109,0.716,1.932,1.29,11.442,1.091
787,53.695801,-29.459051,2583.49,1916.86,6.813,0,0.61,2.008,1,4.772,0.97,0.256,0.105,0.623,0.083,0.863,0.148,0.879,0.115,1.154,0.229,0.963,0.478,1.558,0.208,-999.0,9999.0,4.614,1.169,7.106,1.643,5.427,4.298,4.862,4.046
788,53.749878,-29.459204,1735.91,1914.42,25.202,0,0.37,2.258,0,16.688,1.11,0.782,0.061,0.801,0.052,0.894,0.085,1.414,0.058,3.293,0.132,4.712,0.282,6.276,0.233,9.776,0.426,18.421,1.628,14.712,2.082,3.888,4.736,3.81,3.421
789,53.753746,-29.459064,1675.34,1916.92,6.599,0,0.49,2.023,0,4.23,0.988,1.328,0.061,1.469,0.052,2.122,0.086,2.954,0.058,3.619,0.132,3.498,0.283,4.187,0.211,4.557,0.427,3.07,0.818,3.403,1.159,-14.218,5.814,-5.846,5.669
790,53.78933,-29.459209,1117.64,1914.29,13.557,0,0.17,1.869,0,9.805,1.0,1.651,0.061,1.874,0.052,2.126,0.086,3.106,0.059,5.628,0.132,6.972,0.282,5.906,0.208,8.8,0.438,9.941,1.535,10.984,2.136,11.655,4.518,35.661,4.715
791,53.803886,-29.459936,889.46,1901.16,1041.14,0,0.03,3.619,0,470.923,0.952,6.958,0.061,14.217,0.052,40.554,0.086,79.139,0.058,140.505,0.132,163.602,0.282,191.901,0.197,266.403,0.437,215.477,6.788,187.045,8.133,136.68,4.385,186.686,3.773
792,53.718349,-29.459459,2230.06,1909.7,15.244,0,0.15,2.132,0,10.09,1.001,1.593,0.075,1.798,0.058,1.878,0.105,2.284,0.068,4.464,0.145,4.547,0.309,5.335,0.204,7.586,0.446,9.262,1.643,6.336,1.661,14.372,5.378,4.032,4.689
793,53.682632,-29.459436,2789.86,1909.8,11.328,0,0.2,2.507,1,8.25,0.985,0.821,0.105,1.219,0.117,1.063,0.148,1.325,0.115,2.418,0.32,2.305,0.681,3.871,0.207,-999.0,9999.0,12.119,1.72,14.586,2.193,0.157,2.828,9.557,3.723
794,53.81842,-29.459867,661.69,1902.3,288.404,2,0.03,5.707,1,95.519,2.143,2.688,0.075,4.481,0.068,8.799,0.105,36.154,0.071,31.302,0.162,37.82,0.35,45.263,0.456,58.086,0.789,62.113,3.631,51.315,3.893,30.519,3.395,53.409,3.84
795,53.81776,-29.460173,672.06,1896.8,34.641,3,0.96,2.54,1,26.232,2.16,1.47,0.074,2.012,0.067,3.012,0.105,10.51,0.068,10.194,0.162,10.64,0.349,13.154,0.406,18.406,1.374,30.071,2.113,22.633,2.116,15.627,2.208,29.289,2.528
796,53.708366,-29.459837,2386.51,1902.81,60.457,0,0.02,3.173,1,31.615,0.962,1.423,0.074,2.294,0.068,4.4,0.104,7.201,0.068,11.279,0.161,12.829,0.362,14.663,0.199,17.071,1.533,17.124,2.164,13.436,2.179,12.273,3.999,36.75,3.92
797,53.798767,-29.459661,969.7,1906.13,38.761,0,0.65,2.157,0,24.356,0.994,0.53,0.061,0.575,0.052,1.082,0.086,1.807,0.058,5.297,0.132,7.242,0.283,8.177,0.203,12.333,0.429,22.115,2.274,15.131,2.396,-1.482,4.329,20.324,4.225
798,53.682186,-29.459665,2796.87,1905.67,16.997,0,0.59,2.91,1,10.203,0.994,0.292,0.105,0.341,0.117,0.348,0.148,0.428,0.115,0.732,0.321,0.418,0.682,1.912,0.205,-999.0,9999.0,16.137,1.825,17.149,2.279,7.677,2.544,12.428,3.52
799,53.748878,-29.459673,1751.62,1905.99,9.734,0,0.5,2.175,0,6.545,1.105,1.178,0.061,1.405,0.052,1.359,0.086,1.655,0.06,2.55,0.132,3.525,0.282,3.992,0.228,5.533,0.425,7.589,1.201,7.648,1.705,3.888,4.502,13.162,3.623
800,53.686138,-29.459806,2734.91,1903.16,16.321,0,0.91,2.312,1,9.72,0.969,0.123,0.105,0.379,0.117,0.734,0.148,0.945,0.115,2.431,0.32,2.68,0.681,3.879,0.202,-999.0,9999.0,8.829,1.705,6.831,1.867,-4.914,3.91,-8.862,4.596
801,53.703838,-29.460146,2457.51,1897.24,129.534,0,0.19,2.507,1,73.241,0.921,0.305,0.075,0.62,0.068,2.606,0.104,6.004,0.079,18.447,0.186,21.486,0.397,27.929,0.192,-999.0,9999.0,56.789,3.891,34.67,3.564,23.688,4.47,0.806,4.206
802,53.773712,-29.460474,1362.37,1891.57,1995.825,0,1.0,1.771,1,1284.979,0.905,39.235,0.061,220.069,0.052,524.347,0.086,483.999,0.058,723.832,0.132,1122.505,0.282,1347.364,0.192,1564.419,0.431,419.629,9.42,273.543,9.557,165.862,4.816,65.599,5.142
803,53.726936,-29.460115,2095.49,1897.94,5.147,0,0.67,2.015,0,3.374,0.933,0.667,0.075,0.767,0.061,0.754,0.105,1.229,0.07,2.216,0.145,2.549,0.309,2.83,0.195,2.803,0.427,4.807,1.321,2.541,1.402,1.256,6.93,-11.257,6.252
804,53.746235,-29.460157,1793.01,1897.26,21.097,0,0.04,2.618,0,13.059,1.119,2.23,0.061,2.377,0.052,2.638,0.086,3.134,0.058,5.25,0.132,6.161,0.282,6.876,0.241,7.633,0.428,14.982,1.602,13.801,2.135,-1.35,3.678,1.33,3.544
805,53.743134,-29.460196,1841.64,1896.55,13.395,0,0.6,2.259,0,8.163,1.12,0.044,0.061,-0.008,0.052,0.081,0.086,0.048,0.058,0.181,0.132,0.461,0.282,0.687,0.242,1.382,0.428,17.254,1.788,20.991,2.93,-0.141,4.207,24.3,4.328
806,53.67841,-29.460272,2856.03,1894.72,28.033,0,0.01,2.535,1,17.565,0.96,3.527,0.105,3.963,0.117,4.132,0.148,4.429,0.115,9.225,0.32,10.338,0.681,10.606,0.196,-999.0,9999.0,14.739,2.004,10.814,2.132,8.718,3.485,4.793,4.196
807,53.7799,-29.460545,1265.44,1890.27,50.83,0,0.83,1.94,0,33.119,0.918,0.569,0.061,1.071,0.052,1.393,0.086,1.558,0.058,2.567,0.132,3.239,0.282,4.405,0.192,9.549,0.43,37.417,2.889,51.659,4.445,66.948,4.487,141.906,4.391
808,53.676918,-29.460411,2879.42,1892.19,6.957,0,0.68,2.009,1,4.852,0.967,0.322,0.105,0.642,0.116,0.638,0.148,1.23,0.114,2.334,0.32,2.193,0.681,3.515,0.197,-999.0,9999.0,3.053,1.046,2.916,1.258,4.548,3.296,12.185,4.695
809,53.729465,-29.460514,2055.84,1890.78,20.877,0,0.12,2.574,0,12.555,0.913,0.097,0.075,0.188,0.058,0.335,0.105,0.501,0.064,1.254,0.145,1.395,0.309,2.7,0.191,4.682,0.426,20.783,2.127,20.664,2.671,13.09,4.041,24.179,3.954
810,53.7896,-29.460491,1113.38,1891.21,6.904,0,0.3,2.28,0,4.656,0.915,0.983,0.061,1.422,0.052,1.767,0.086,2.216,0.058,2.287,0.132,2.172,0.282,2.374,0.191,3.143,0.427,6.079,1.326,6.669,1.976,0.881,5.973,-3.423,5.246
811,53.68293,-29.460936,2785.17,1882.81,974.422,0,0.99,1.707,1,637.29,0.919,12.626,0.105,71.467,0.117,180.539,0.148,228.723,0.115,388.88,0.32,495.275,0.681,590.274,0.194,-999.0,9999.0,222.895,7.975,145.468,7.816,85.272,3.694,45.359,5.187
812,53.751984,-29.460667,1702.91,1888.1,39.062,0,0.02,2.614,0,23.084,0.929,0.835,0.061,1.131,0.052,1.394,0.086,1.731,0.058,3.779,0.132,5.736,0.283,7.931,0.197,11.224,0.434,26.158,1.828,28.993,2.664,3.109,4.651,22.842,3.694
813,53.75338,-29.460663,1681.07,1888.15,14.43,0,0.57,3.119,0,7.91,0.9,0.35,0.061,0.385,0.052,0.504,0.086,0.706,0.058,1.087,0.132,1.572,0.282,2.453,0.192,3.509,0.432,12.872,1.214,14.908,1.905,4.84,4.451,0.5,3.783
814,53.675091,-29.460686,2908.03,1887.21,6.522,0,0.59,1.749,1,4.896,1.034,0.716,0.105,1.132,0.117,1.039,0.148,1.204,0.115,1.595,0.32,2.53,0.681,3.143,0.219,-999.0,9999.0,3.873,0.852,3.678,0.916,7.461,1.799,-2.018,2.447
815,53.715031,-29.46092,2282.09,1883.38,40.32,0,0.98,1.636,0,27.503,0.9,0.292,0.074,1.639,0.066,5.347,0.104,9.91,0.068,20.771,0.16,23.226,0.346,26.454,0.194,31.066,0.538,11.872,1.833,7.602,1.796,-0.705,4.88,-10.418,4.699
816,53.690327,-29.461042,2669.22,1880.97,110.362,0,0.04,2.374,1,66.543,0.899,0.845,0.105,1.617,0.117,4.109,0.148,7.895,0.115,15.594,0.32,18.575,0.681,24.803,0.193,-999.0,9999.0,39.689,3.302,37.452,3.845,7.714,3.493,53.976,4.196
