PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,UMINB,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
235,1.368,1.037,2.243,1.616,2.229,0.898,1.495,1.332,0,0,0
236,1.368,0.946,2.196,1.872,1.815,0.978,1.636,1.601,0,0,0
237,1.368,0.583,0.779,0.835,0.895,0.813,1.357,0.855,0,0,0
238,1.368,0.753,1.637,1.135,1.018,0.78,1.297,1.787,0,0,0
239,1.368,0.715,0.854,0.659,0.905,0.748,1.242,0.908,0,0,0
240,1.368,0.519,0.451,-0.055,0.355,0.75,1.247,0.421,0,0,0
241,1.368,1.025,1.003,0.502,0.131,0.875,1.488,1.328,0,0,0
242,1.368,0.36,0.436,0.272,0.834,0.386,0.577,0.464,0,0,0
243,1.368,0.724,1.101,0.753,0.591,1.103,1.859,1.384,0,0,0
244,1.368,0.659,0.962,0.775,0.879,0.808,1.289,1.09,0,0,0
245,1.368,0.669,0.727,0.562,1.11,0.689,1.15,0.731,0,0,0
246,1.368,0.856,1.332,1.395,1.526,0.757,1.227,1.216,0,0,0
247,1.368,0.671,0.903,0.637,0.485,0.713,1.184,1.362,0,0,0
248,1.368,0.718,1.4,1.065,0.967,0.749,1.243,1.614,0,0,0
249,1.368,0.843,1.47,0.813,1.515,0.753,1.136,0.728,0,0,0
250,1.368,0.533,0.706,0.265,0.342,1.076,1.794,1.268,0,0,0
251,1.368,0.886,1.458,-0.047,0.549,1.341,2.243,1.247,0,0,0
252,1.368,0.612,0.844,0.602,0.837,0.659,1.089,0.887,0,0,0
253,1.368,0.771,1.162,1.156,1.031,0.901,1.343,1.415,0,0,0
254,1.368,0.499,0.602,0.279,0.941,0.808,1.051,0.492,0,0,0
255,1.368,0.57,0.808,0.773,1.197,0.559,0.792,0.838,0,0,0
256,1.368,0.66,0.882,-0.06,0.115,1.438,2.335,1.272,0,0,0
257,1.368,0.669,1.126,0.774,0.475,0.718,1.191,1.572,0,0,0
258,1.368,0.687,1.21,0.989,1.465,0.677,1.211,0.919,0,0,0
259,1.368,0.594,0.897,0.629,1.344,0.586,0.923,0.63,0,0,0
260,1.368,0.524,0.722,0.247,0.497,0.595,0.91,1.103,0,0,0
261,1.368,0.48,0.668,0.512,0.844,0.489,0.776,0.785,0,0,0
262,1.368,0.544,0.625,0.382,0.901,0.777,1.293,0.572,0,0,0
263,1.368,1.075,2.254,1.247,1.159,0.877,1.46,1.577,0,0,0
264,1.368,1.057,1.144,0.629,0.198,0.923,1.571,1.734,0,0,0
265,1.368,0.375,0.463,0.309,0.302,0.61,1.094,0.953,0,0,0
266,1.368,0.562,0.806,0.308,1.461,0.548,0.699,0.279,0,0,0
267,1.368,0.669,1.143,0.978,0.773,0.707,1.175,1.572,0,0,0
268,1.368,0.51,0.653,0.098,0.652,0.827,1.384,0.702,0,0,0
269,1.368,0.762,1.222,1.11,0.924,0.928,1.586,1.73,0,0,0
270,1.368,0.704,1.532,1.156,1.004,0.734,1.219,1.88,0,0,0
271,1.368,0.669,1.023,0.781,0.751,0.707,1.176,1.192,0,0,0
272,1.368,0.803,1.426,1.141,1.112,0.822,1.509,1.431,0,0,0
273,1.368,0.228,0.219,-0.051,0.243,0.654,0.906,0.604,0,0,0
274,1.368,0.519,0.728,0.682,0.332,0.858,1.214,1.662,0,0,0
275,1.368,0.456,0.593,0.491,0.17,0.841,1.424,1.464,0,0,0
276,1.368,0.45,0.733,0.738,1.142,0.428,0.632,0.917,0,0,0
277,1.368,0.214,0.181,-0.002,0.168,0.675,0.961,0.693,0,0,0
278,1.368,0.721,1.572,1.229,1.019,0.75,1.246,1.878,0,0,0
279,1.368,0.703,0.74,0.634,1.321,0.707,0.762,0.648,0,0,0
280,1.368,0.573,0.769,0.831,0.803,0.623,1.038,1.184,0,0,0
281,1.368,0.529,0.693,0.372,1.133,0.522,0.729,0.404,0,0,0
282,1.368,0.457,0.605,0.328,1.014,0.439,0.642,0.458,0,0,0
283,1.368,0.764,1.171,0.626,0.731,1.046,1.77,1.169,0,0,0
284,1.368,0.961,1.576,1.371,1.41,0.977,1.589,1.328,0,0,0
285,1.368,1.211,0.27,-0.061,0.016,0.235,1.992,1.504,0,0,0
286,1.368,0.462,0.546,0.79,1.52,0.411,0.517,0.71,0,0,0
287,1.368,0.926,0.434,-0.048,0.134,0.348,1.36,0.918,0,0,0
288,1.368,0.271,0.294,0.262,0.751,0.364,0.464,0.399,0,0,0
289,1.368,0.616,0.902,0.501,1.536,0.605,0.807,0.404,0,0,0
290,1.368,0.213,0.18,0.222,0.244,0.489,0.812,0.722,0,0,0
291,1.368,0.736,1.916,1.508,1.651,0.988,1.782,1.266,0,0,0
292,1.368,0.214,0.183,0.065,0.368,0.344,0.482,0.685,0,0,0
293,1.368,0.56,0.668,0.862,1.479,0.489,0.645,0.827,0,0,0
294,1.368,0.467,0.603,0.432,0.254,1,1.601,1.442,0,0,0
295,1.368,0.726,1.041,0.732,0.866,0.761,1.264,1.168,0,0,0
296,1.368,0.669,0.923,0.759,0.964,0.695,1.159,0.997,0,0,0
297,1.368,0.539,0.854,0.679,0.833,0.492,0.855,0.977,0,0,0
298,1.368,1.322,2.196,1.616,1.712,1.023,1.643,1.321,0,0,0
299,1.368,0.64,0.888,0.449,0.393,0.686,1.204,1.26,0,0,0
300,1.368,0.595,0.813,0.717,0.854,0.645,1.088,0.956,0,0,0
301,1.368,0.692,1.063,0.794,0.514,0.756,1.257,1.701,0,0,0
302,1.368,0.524,0.757,0.401,0.996,0.436,0.702,0.631,0,0,0
303,1.368,0.691,1.002,0.789,0.571,1.018,1.736,1.441,0,0,0
304,1.368,0.705,1.077,1.123,0.898,0.798,1.378,1.492,0,0,0
305,1.368,0.542,0.798,0.816,1.018,0.584,0.778,1.119,0,0,0
306,1.368,0.62,0.8,0.862,1.638,0.491,0.715,0.687,0,0,0
307,1.368,0.852,0.417,-0.027,0.221,0.762,1.305,0.391,0,0,0
308,1.368,0.222,0.201,-0.012,0.172,0.703,1.057,0.669,0,0,0
309,1.368,1.063,1.7,1.06,1.292,1.108,1.818,1.161,0,0,0
310,1.368,0.723,1.123,0.941,1.003,0.842,1.463,1.235,0,0,0
311,1.368,1.042,1.547,0.374,0.738,1.096,1.922,1.216,0,0,0
312,1.368,0.57,0.762,0.593,0.374,0.947,1.659,1.458,0,0,0
313,1.368,0.213,0.179,0.315,1.732,0.263,0.325,0.134,0,0,0
314,1.368,0.961,2.148,1.352,1.266,0.832,1.495,1.631,0,0,0
315,1.368,0.412,0.537,0.552,0.225,0.821,1.314,1.32,0,0,0
316,1.368,0.341,0.46,0.209,1.378,0.341,0.46,0.209,0,0,0
317,1.368,0.533,0.777,0.775,1.242,0.54,0.832,0.833,0,0,0
318,1.368,0.589,0.828,0.439,1.113,0.583,0.908,0.615,0,0,0
319,1.368,0.212,0.178,0.3,0.786,0.295,0.316,-0.06,0,0,0
320,1.368,0.574,0.809,0.464,1,0.545,0.915,0.679,0,0,0
321,1.368,0.212,0.178,0.321,2.752,0.218,0.191,-0.058,0,0,0
322,1.368,0.266,0.292,-0.06,0.108,0.657,0.955,0.765,0,0,0
323,1.368,1.121,2.268,1.244,1.949,0.822,1.362,0.671,0,0,0
324,1.368,0.525,0.692,0.578,0.593,0.726,1.09,1.066,0,0,0
325,1.368,0.471,0.729,0.387,1.475,0.495,0.648,0.357,0,0,0
326,1.368,0.242,0.249,0.38,0.789,0.335,0.402,0.501,0,0,0
327,1.368,0.697,1.144,1.593,2.03,0.922,1.403,1.231,0,0,0
328,1.368,0.778,1.196,1.472,1.388,0.778,1.196,1.472,0,0,0
329,1.368,0.654,0.879,0.442,0.384,1.304,2.172,1.33,0,0,0
330,1.368,0.408,0.49,0.096,1.547,0.396,0.431,0.031,0,0,0
331,1.368,0.859,1.543,1.311,1.57,0.745,1.287,1.128,0,0,0
332,1.368,0.711,1.105,0.91,0.963,0.779,1.341,1.23,0,0,0
333,1.368,0.311,0.47,0.819,0.772,0.363,0.536,1.421,0,0,0
334,1.368,0.335,0.431,0.342,0.91,0.351,0.478,0.459,0,0,0
335,1.368,0.886,1.54,1.313,1.512,0.987,1.842,1.184,0,0,0
336,1.368,0.712,1.021,-0.059,0.28,1.053,1.575,1.492,0,0,0
