PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,U_B,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
4028,1.335,0.532,0.797,0.306,0.862,0.376,0.578,0.475,0,0,0
4029,1.335,0.412,0.514,0.48,1.19,0.415,0.52,0.323,0,0,0
4030,1.335,0.735,1.323,1.472,2.424,0.839,1.285,0.607,0,0,0
4031,1.335,0.427,0.719,0.301,1.539,0.406,0.528,0.12,0,0,0
4032,1.335,0.892,1.401,1.074,1.25,0.943,1.455,1.174,0,0,0
4033,1.335,0.734,1.141,0.875,1.123,0.788,1.299,1.064,0,0,0
4034,1.335,0.656,0.88,0.947,1.072,0.765,1.019,1,0,0,0
4035,1.335,0.542,0.78,0.082,0.681,0.447,0.798,0.707,0,0,0
4036,1.335,0.212,0.178,0.19,2.832,0.213,0.179,-0.046,0,0,0
4037,1.335,0.213,0.18,-0.016,0.408,0.381,0.475,0.385,0,0,0
4038,1.335,1.004,1.528,0.959,1.223,1.077,1.665,1.072,0,0,0
4039,1.335,0.228,0.222,0.178,1.936,0.22,0.181,0.118,0,0,0
4040,1.335,0.352,0.421,-0.06,0.01,1.44,2.341,1.244,0,0,0
4041,1.335,1.086,1.659,0.387,0.538,1.439,2.34,1.249,0,0,0
4042,1.335,0.843,1.462,0.917,1.698,0.805,1.219,0.725,0,0,0
4043,1.335,0.365,0.441,0.036,0.697,0.519,0.707,0.287,0,0,0
4044,1.335,0.413,0.694,0.396,1.701,0.391,0.484,0.279,0,0,0
4045,1.335,0.41,0.514,0.611,0.459,0.355,0.693,0.956,0,0,0
4046,1.335,0.324,0.495,0.785,1.938,0.352,0.605,0.838,0,0,0
4047,1.335,0.655,0.882,0.742,0.982,0.74,1.111,0.978,0,0,0
4048,1.335,0.613,0.824,1.324,1.254,0.643,0.864,1.286,0,0,0
4049,1.335,0.33,0.398,0.09,0.296,0.636,0.99,0.682,0,0,0
4050,1.335,0.427,0.543,0.572,0.519,0.568,0.819,0.801,0,0,0
4051,1.335,0.793,1.276,1.028,0.739,1.008,1.698,1.629,0,0,0
4052,1.335,0.423,0.535,0.708,1.14,0.431,0.543,0.838,0,0,0
4053,1.335,0.376,0.46,0.405,1.241,0.379,0.465,0.446,0,0,0
4054,1.335,0.431,0.549,0.567,1.201,0.433,0.568,0.668,0,0,0
4055,1.335,0.212,0.177,-0.054,0.093,0.212,0.178,-0.059,0,0,0
4056,1.335,0.636,0.845,0.273,0.483,0.911,1.358,0.655,0,0,0
4057,1.335,0.308,0.351,-0.06,0.34,0.481,0.67,0.598,0,0,0
4058,1.335,0.407,0.528,0.38,0.685,0.55,0.888,0.765,0,0,0
4059,1.335,0.27,0.28,-0.021,0.428,0.56,0.761,0.377,0,0,0
4060,1.335,0.552,0.73,0.225,1.19,0.559,0.742,0.324,0,0,0
4061,1.335,0.387,0.54,0.569,1.591,0.368,0.365,0.372,0,0,0
4062,1.335,0.453,0.585,0.289,0.824,0.464,0.668,0.557,0,0,0
4063,1.335,0.778,1.219,0.948,0.978,0.933,1.504,1.233,0,0,0
4064,1.335,0.394,0.487,-0.06,0.01,1.438,2.339,1.248,0,0,0
4065,1.335,0.478,0.619,0.128,0.359,0.888,1.372,0.913,0,0,0
4066,1.335,0.212,0.177,0.345,2.399,0.256,0.31,0.204,0,0,0
4067,1.335,0.289,0.322,-0.06,0.284,0.648,0.964,0.55,0,0,0
4068,1.335,0.241,0.311,0.894,2.598,0.462,0.669,0.413,0,0,0
4069,1.335,0.256,0.308,0.039,0.228,0.651,0.887,0.589,0,0,0
4070,1.335,0.389,0.491,1.515,2.61,0.667,1.209,0.618,0,0,0
4071,1.335,0.5,0.883,0.745,0.135,0.389,0.494,1.174,0,0,0
4072,1.335,0.658,0.884,-0.06,0.199,1.439,2.341,1.25,0,0,0
4073,1.335,0.69,0.964,0.104,0.35,1.099,1.984,1.334,0,0,0
4074,1.335,0.658,0.887,0.442,0.776,0.97,1.456,0.702,0,0,0
4075,1.335,0.212,0.177,-0.057,1.438,0.212,0.178,-0.06,0,0,0
4076,1.335,0.356,0.426,-0.058,0.046,1.263,2.047,1.076,0,0,0
4077,1.335,0.534,0.716,0.275,0.597,0.509,0.903,1.056,0,0,0
4078,1.335,0.627,1.066,0.677,1.71,0.56,0.663,0.619,0,0,0
4079,1.335,1.316,2.178,1.137,1.543,1.129,1.78,0.902,0,0,0
4080,1.335,0.679,1.043,0.908,1.643,0.547,0.668,0.839,0,0,0
4081,1.335,0.825,1.473,1.535,2.082,0.994,1.692,1.069,0,0,0
4082,1.335,1.341,2.21,0.812,1.064,1.438,2.339,1.247,0,0,0
4083,1.335,0.271,0.346,-0.034,1.214,0.263,0.326,0.005,0,0,0
4084,1.335,0.733,1.139,0.912,1.196,0.75,1.224,1.062,0,0,0
4085,1.335,0.89,1.452,-0.059,0.462,1.352,2.334,1.249,0,0,0
4086,1.335,0.454,0.581,0.772,1.088,0.49,0.628,0.745,0,0,0
4087,1.335,0.261,0.288,-0.018,0.197,0.712,1.025,0.511,0,0,0
4088,1.335,0.498,0.877,0.625,1.704,0.451,0.661,0.51,0,0,0
4089,1.335,0.792,1.388,0.767,1.787,0.702,1.004,0.53,0,0,0
4090,1.335,0.635,0.981,0.767,0.85,0.381,0.682,1.411,0,0,0
4091,1.335,0.561,0.745,0.714,0.835,0.568,0.743,0.785,0,0,0
4092,1.335,0.266,0.368,-0.06,0.179,0.519,0.604,0.524,0,0,0
4093,1.335,0.605,0.852,1.237,2.693,0.635,0.874,0.772,0,0,0
4094,1.335,0.483,0.625,0.604,3.739,0.401,0.412,0.264,0,0,0
4095,1.335,0.44,0.56,0.188,0.427,0.359,0.619,0.875,0,0,0
4096,1.335,0.292,0.32,-0.06,3.139,0.212,0.177,-0.061,0,0,0
4097,1.335,0.619,0.83,0.374,0.842,0.668,0.978,0.791,0,0,0
4098,1.335,0.35,0.412,0.022,0.723,0.391,0.483,0.132,0,0,0
4099,1.335,0.32,0.43,0.326,1.67,0.295,0.269,0.341,0,0,0
4100,1.335,0.656,0.877,0.471,0.837,0.825,1.146,0.517,0,0,0
4101,1.335,0.763,1.244,1.057,1.478,0.694,1.081,0.991,0,0,0
4102,1.335,0.938,1.632,1.319,1.69,0.735,1.19,1.12,0,0,0
4103,1.335,0.736,1.319,0.804,1.588,0.65,0.932,0.769,0,0,0
4104,1.335,0.379,0.546,0.647,1.208,0.361,0.557,0.641,0,0,0
4105,1.335,0.355,0.577,0.321,1.292,0.35,0.565,0.372,0,0,0
4106,1.335,0.31,0.449,0.282,1.799,0.351,0.451,0.025,0,0,0
4107,1.335,0.213,0.18,-0.06,0.304,0.484,0.586,0.344,0,0,0
4108,1.335,0.411,0.514,0.069,0.569,0.591,0.888,0.577,0,0,0
4109,1.335,0.608,0.815,0.424,0.707,0.688,1.135,0.926,0,0,0
4110,1.335,0.344,0.532,0.286,0.527,0.311,0.461,0.677,0,0,0
4111,1.335,0.627,0.899,0.953,2.104,0.495,0.688,0.951,0,0,0
4112,1.335,0.881,1.322,1.426,2.088,0.655,0.872,1.249,0,0,0
4113,1.335,0.862,1.465,1.528,1.119,1.005,1.724,1.666,0,0,0
4114,1.335,0.724,1.098,0.97,1.23,0.777,1.139,1.032,0,0,0
4115,1.335,0.229,0.212,-0.06,0.193,0.664,0.876,0.438,0,0,0
4116,1.335,0.426,0.521,0.789,2.712,0.212,0.178,1.915,0,0,0
