id,ra,dec,xpix,ypix,FOURSTARKs_tot,K_flag,K_star,K_fluxrad,totmask,FOURSTARKs,eFOURSTARKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,FOURSTARJ1,eFOURSTARJ1,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2,IRAC3,eIRAC3,IRAC4,eIRAC4
1158,34.935097,-5.554724,1437.82,963.66,5.847,0,0.66,1.828,0,4.987,0.667,0.458,0.095,0.786,0.077,1.192,0.138,2.033,0.123,3.2,0.175,2.777,0.436,3.318,0.476,3.41,0.517,4.717,0.602,0.905,0.971,1.249,4.091,6.813,4.191
1159,34.972843,-5.554825,761.61,961.81,10.353,0,0.18,2.476,0,7.253,0.76,0.322,0.115,0.454,0.099,0.486,0.169,0.738,0.138,0.902,0.216,1.532,0.533,1.432,0.54,2.736,0.633,7.707,0.843,7.781,1.041,21.284,4.841,5.912,4.659
1160,34.930965,-5.554824,1511.87,961.86,7.135,0,0.87,1.074,0,5.927,0.668,0.029,0.095,-0.034,0.077,0.046,0.138,-0.032,0.127,-0.223,0.175,-0.025,0.436,-0.496,0.472,-0.196,0.508,-1.683,1.002,1.375,1.448,1.73,6.67,-27.766,6.831
1161,34.9618,-5.554979,959.45,959.06,32.392,0,0.19,2.63,0,23.499,0.668,0.945,0.095,1.222,0.077,1.417,0.138,1.823,0.123,3.427,0.175,4.878,0.436,8.722,0.483,10.746,0.508,27.165,0.858,24.622,1.333,-11.499,6.331,16.584,6.623
1162,34.89315,-5.555098,2189.38,956.92,9.902,0,0.01,3.267,0,6.115,0.746,0.805,0.095,0.827,0.077,1.191,0.138,1.404,0.123,2.674,0.175,2.644,0.436,2.998,0.52,2.071,0.601,5.102,0.447,2.7,1.265,-10.725,6.614,8.261,6.147
1163,34.926647,-5.555102,1589.21,956.86,15.714,0,0.3,2.091,0,12.645,0.666,0.044,0.095,0.194,0.077,0.451,0.138,0.82,0.123,1.317,0.175,2.033,0.436,2.458,0.476,5.968,0.508,18.94,1.028,18.625,1.497,33.711,6.279,4.176,6.455
1164,34.993279,-5.555228,395.53,954.54,15.507,0,0.1,2.763,0,11.094,0.669,1.736,0.164,1.509,0.122,1.829,0.235,2.288,0.163,4.311,0.248,4.928,0.618,5.792,0.465,7.0,0.518,11.236,0.503,10.926,0.539,-13.612,7.255,-1.859,5.711
1165,35.0019,-5.555141,241.08,956.09,7.938,0,0.1,2.363,0,6.092,0.668,1.004,0.165,1.018,0.122,0.984,0.236,1.676,0.21,3.212,0.304,2.503,0.76,3.119,0.467,4.664,0.51,3.898,0.575,3.99,0.65,9.09,8.783,13.042,8.154
1166,34.880665,-5.555148,2413.0,956.0,47.464,1,0.66,9.434,1,-999.0,9999.0,0.17,0.115,-0.057,0.098,-0.103,0.17,-0.036,0.142,-0.088,0.216,0.098,0.531,-999.0,9999.0,-999.0,9999.0,0.032,0.007,0.012,0.016,-0.029,0.107,-0.032,0.096
1167,34.959476,-5.555571,1001.11,948.42,93.708,0,0.03,3.767,0,53.072,0.663,3.784,0.094,4.676,0.077,6.324,0.138,7.842,0.123,17.343,0.175,18.453,0.436,21.195,0.471,26.794,0.511,53.952,0.775,42.085,1.207,26.695,5.898,21.68,6.23
1168,34.9855,-5.555311,534.85,953.05,8.44,0,0.56,1.814,0,7.432,0.873,0.692,0.116,0.433,0.099,-0.445,0.17,0.613,0.148,0.785,0.216,1.275,0.534,1.321,0.611,3.536,0.617,5.82,0.299,10.368,0.705,8.164,3.677,8.204,3.222
1169,34.989334,-5.555346,466.18,952.42,12.181,0,0.22,2.558,0,9.231,0.708,2.073,0.115,3.365,0.099,5.746,0.169,7.398,0.148,8.18,0.231,7.745,0.533,7.289,0.483,7.805,0.565,6.722,0.298,7.397,0.329,-2.451,3.891,3.581,3.34
1170,34.925243,-5.555578,1614.39,948.3,35.704,0,0.01,3.379,0,22.984,0.664,2.795,0.094,3.316,0.077,4.636,0.138,6.142,0.123,11.615,0.175,12.45,0.435,13.419,0.466,15.643,0.51,21.456,0.745,13.857,1.388,8.351,4.912,5.306,5.07
1171,34.934975,-5.55547,1440.07,950.25,22.426,0,0.37,2.341,0,16.479,0.665,0.059,0.095,0.12,0.077,0.381,0.138,0.861,0.123,2.856,0.175,3.998,0.436,7.339,0.471,8.105,0.508,15.685,0.813,12.099,1.412,4.204,5.779,-13.793,6.119
1172,34.963066,-5.555376,936.79,951.92,4.705,0,0.49,2.275,0,4.102,0.664,0.556,0.095,0.944,0.077,2.193,0.138,2.701,0.123,3.396,0.175,3.496,0.436,3.61,0.473,3.064,0.508,3.2,0.782,4.209,1.142,-0.538,5.398,1.977,5.24
1173,34.992401,-5.55537,411.21,951.99,8.981,0,0.81,2.019,0,7.457,0.666,-1.524,0.125,0.48,0.122,0.391,0.235,0.764,0.162,1.023,0.247,1.393,0.617,1.151,0.48,2.875,0.526,9.686,0.347,10.77,0.379,3.901,4.898,0.734,3.737
1174,34.914837,-5.555457,1800.79,950.46,4.726,0,0.47,2.276,0,4.109,0.664,0.234,0.094,0.229,0.077,0.651,0.138,0.809,0.123,0.816,0.175,0.894,0.436,1.44,0.467,0.745,0.515,4.843,1.282,3.007,1.998,17.032,8.52,27.489,10.846
1175,34.995747,-5.555622,351.26,947.45,48.279,0,0.02,3.054,0,31.75,0.669,5.382,0.164,5.59,0.122,7.17,0.235,8.703,0.163,15.131,0.248,16.311,0.618,19.734,0.47,21.529,0.524,32.705,0.465,24.871,0.521,20.323,7.167,1.199,5.755
1176,34.956635,-5.555618,1051.97,947.57,9.867,0,0.52,2.184,0,8.231,0.667,2.657,0.095,3.057,0.077,3.225,0.138,3.414,0.125,6.454,0.175,6.237,0.436,5.942,0.47,7.008,0.529,4.884,0.908,1.309,1.332,4.01,6.312,-6.487,6.392
1177,34.936546,-5.555808,1411.91,944.15,85.786,0,0.03,2.971,0,58.009,0.666,5.65,0.095,7.887,0.077,14.985,0.138,23.21,0.123,30.058,0.175,32.235,0.436,34.892,0.469,38.187,0.514,27.671,0.786,26.651,1.275,14.378,5.87,37.803,6.474
1178,34.928799,-5.555696,1550.66,946.18,11.876,0,0.09,2.487,0,9.305,0.661,1.114,0.095,1.456,0.077,1.465,0.138,2.089,0.123,3.21,0.175,3.673,0.436,4.974,0.473,4.709,0.527,9.864,1.109,7.32,1.452,15.653,7.321,-10.718,6.852
